R7,1月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
21,うどんセット,,5,2,1,3,3,,,2,2,2,3,5,,,2,
23,ラーメンセットミニカレー醤油,,4,10,4,5,1,,,2,7,3,5,0,,,2,
24,ラーメンセットミニカレー豚骨,,1,4,3,3,3,,,4,3,4,5,0,,,2,
25,かけそば,,0,1,0,0,0,,,1,0,1,0,0,,,1,
26,天ぷらそば,,0,1,0,0,1,,,0,0,0,0,1,,,0,
27,カレーそば,,0,0,0,0,0,,,0,0,0,0,0,,,0,
28,肉そば,,0,0,2,1,0,,,2,0,1,1,1,,,1,
29,そばセット,,0,0,1,0,1,,,1,2,0,0,2,,,0,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,48,50,83,68,87,,0,62,76,72,75,110,0,0,59,
,,,,,,,,,,,,,,,,,,
R7,6月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,
,,火,水,木,金,土,日,月,火,水,木,金,土,日,月,,,
1,日替定食,32,31,34,28,,,✕,32,34,30,28,,,✕,,,
2,日替丼,✕,✕,✕,✕,,,24,✕,✕,0,✕,,,25,,,
4,カレー,1,7,3,6,,,5,1,2,4,0,,,5,,,
5,カツカレー,10,0,✕,✕,,,0,7,0,0,0,,,0,,,
6,ハヤシライス,0,0,✕,✕,,,0,✕,0,0,9,,,0,,,
8,やきめし,0,0,✕,3,,,0,✕,0,0,7,,,0,,,
9,醤油ラーメン,5,3,3,5,,,7,3,4,3,1,,,4,,,
10,醤油ラーメン（大盛）,2,4,3,4,,,2,2,1,3,3,,,3,,,
11,豚骨ラーメン,2,0,1,1,,,0,3,2,1,4,,,0,,,
12,豚骨ラーメン（大盛）,3,4,3,3,,,2,3,5,4,5,,,3,,,
13,チャーシュー醤油,0,0,1,3,,,2,0,0,0,1,,,1,,,
14,チャーシュー豚骨,1,0,0,1,,,0,1,0,0,0,,,0,,,
15,ラーメンセットミニ炒飯醤油,0,0,0,6,,,0,0,0,0,6,,,0,,,
16,ラーメンセットミニ炒飯豚骨,0,0,0,4,,,0,0,0,0,2,,,0,,,
17,かけうどん,5,6,4,4,,,5,5,5,5,4,,,2,,,
18,天ぷらうどん,0,2,0,2,,,0,1,2,0,1,,,0,,,
19,カレーうどん,1,2,0,0,,,1,1,0,1,0,,,0,,,
20,肉うどん,4,4,7,7,,,6,4,0,7,9,,,5,,,
21,うどんセット,5,0,3,4,,,0,5,4,6,2,,,5,,,
23,ラーメンセットミニカレー醤油,4,4,4,2,,,2,4,2,4,0,,,2,,,
24,ラーメンセットミニカレー豚骨,2,4,0,3,,,3,8,2,5,0,,,4,,,
25,かけそば,0,0,0,1,,,1,2,1,0,0,,,0,,,
26,天ぷらそば,0,0,0,2,,,0,0,0,0,0,,,0,,,
27,カレーそば,0,0,0,0,,,0,0,0,0,0,,,0,,,
28,肉そば,0,1,0,0,,,0,1,1,1,1,,,2,,,
29,そばセット,0,0,2,3,,,1,0,1,1,1,,,1,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,77,72,68,92,0,0,61,83,66,75,84,0,0,62,0,0,
R7,7月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,水,
1,日替定食,✕,✕,✕,✕,,,✕,31,34,32,36,,,✕,31,32,
2,日替丼,✕,✕,✕,✕,,,29,✕,✕,✕,✕,,,23,✕,✕,
4,カレー,0,3,4,3,,,2,3,3,6,3,,,4,0,2,
5,カツカレー,11,0,0,0,,,✕,7,✕,0,✕,,,0,8,✕,
6,ハヤシライス,✕,0,0,0,,,✕,0,✕,0,✕,,,0,✕,✕,
8,やきめし,✕,0,0,0,,,✕,0,✕,0,✕,,,0,✕,✕,
9,醤油ラーメン,0,7,10,5,,,4,1,6,7,4,,,4,5,2,
10,醤油ラーメン（大盛）,9,2,6,5,,,1,6,4,6,3,,,2,1,5,
11,豚骨ラーメン,5,1,4,8,,,3,2,2,0,4,,,7,1,0,
12,豚骨ラーメン（大盛）,7,3,3,9,,,4,1,2,1,1,,,2,1,5,
13,チャーシュー醤油,0,2,4,5,,,0,0,1,1,4,,,0,2,2,
14,チャーシュー豚骨,0,1,2,0,,,2,1,1,0,2,,,0,0,0,
15,ラーメンセットミニ炒飯醤油,0,0,0,0,,,0,0,0,0,0,,,0,0,0,
16,ラーメンセットミニ炒飯豚骨,0,0,0,0,,,0,0,0,0,3,,,0,0,0,
17,かけうどん,2,4,3,7,,,3,2,4,2,5,,,2,5,6,
18,天ぷらうどん,1,0,0,1,,,1,2,3,0,5,,,0,2,3,
19,カレーうどん,0,3,6,2,,,3,2,2,2,1,,,3,0,2,
20,肉うどん,20,10,5,19,,,7,3,5,5,1,,,6,12,6,
21,うどんセット,2,1,3,6,,,2,1,5,6,6,,,2,1,2,
23,ラーメンセットミニカレー醤油,4,3,2,6,,,1,2,0,4,4,,,1,3,2,
24,ラーメンセットミニカレー豚骨,2,0,0,2,,,3,4,1,1,0,,,1,7,2,
25,かけそば,1,0,0,1,,,1,0,1,0,0,,,1,0,0,
26,天ぷらそば,0,1,1,0,,,0,0,1,0,0,,,0,1,0,
27,カレーそば,0,0,0,0,,,0,0,0,0,1,,,0,0,0,
28,肉そば,1,0,0,5,,,0,0,2,1,0,,,2,0,2,
29,そばセット,0,0,0,0,,,1,1,1,0,1,,,1,1,3,
,,,,,,,,,,,,,,,,,,
,メニュー合計,65,41,53,84,,,67,69,78,74,84,,,61,81,76,
,,,,,,,,,,,,,,,,,,
R7,７月,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,
,,木,金,土,日,月,火,水,木,金,土,日,月,火,,,,
1,日替定食,33,✕,,,,,,,,,,,,,,,
2,日替丼,✕,✕,,,,,,,,,,,,,,,
4,カレー,6,2,,,,,,,,,,,,,,,
5,カツカレー,✕,✕,,,,,,,,,,,,,,,
6,ハヤシライス,✕,✕,,,夏,休,み,,,,,,,,,,
8,やきめし,✕,✕,,,,,,,,,,,,,,,
9,醤油ラーメン,4,6,,,,,,,,,,,,,,,
10,醤油ラーメン（大盛）,6,17,,,,,,,,,,,,,,,
11,豚骨ラーメン,4,4,,,,,,,,,,,,,,,
12,豚骨ラーメン（大盛）,11,7,,,,,,,,,,,,,,,
13,チャーシュー醤油,0,0,,,,,,,,,,,,,,,
14,チャーシュー豚骨,0,1,,,,,,,,,,,,,,,
15,ラーメンセットミニ炒飯醤油,0,0,,,,,,,,,,,,,,,
16,ラーメンセットミニ炒飯豚骨,0,0,,,,,,,,,,,,,,,
17,かけうどん,4,7,,,,,,,,,,,,,,,
18,天ぷらうどん,3,2,,,,,,,,,,,,,,,
19,カレーうどん,5,4,,,,,,,,,,,,,,,
20,肉うどん,12,11,,,,,,,,,,,,,,,
21,うどんセット,1,8,,,,,,,,,,,,,,,
23,ラーメンセットミニカレー醤油,3,8,,,,,,,,,,,,,,,
24,ラーメンセットミニカレー豚骨,2,5,,,,,,,,,,,,,,,
25,かけそば,0,2,,,,,,,,,,,,,,,
26,天ぷらそば,0,0,,,,,,,,,,,,,,,
27,カレーそば,0,0,,,,,,,,,,,,,,,
28,肉そば,3,0,,,,,,,,,,,,,,,
29,そばセット,3,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,100,84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
R7,８月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
,,日,月,火,水,木,金,土,日,月,火,水,木,金,土,日,,
1,日替定食,,,,,,,,,✕,14,28,31,34,,,,
2,日替丼,,,,,,,,,✕,✕,✕,✕,✕,,,,
4,カレー,,,,,,,,,0,0,8,9,4,,,,
5,カツカレー,,,,,,,,,✕,4,0,0,✕,,,,
6,ハヤシライス,,,,,,,,,✕,✕,0,0,✕,,,,
8,やきめし,,,,,,,,,✕,✕,0,0,5,,,,
9,醤油ラーメン,,,,,,,,,5,6,4,3,10,,,,
10,醤油ラーメン（大盛）,,,,,,,,,7,4,12,6,4,,,,
11,豚骨ラーメン,,,,,,,,,3,1,6,3,7,,,,
12,豚骨ラーメン（大盛）,,,,,,,,,5,2,7,5,4,,,,
13,チャーシュー醤油,,,,,,,,,0,1,2,0,0,,,,
14,チャーシュー豚骨,,,,,,,,,1,1,2,1,2,,,,
15,ラーメンセットミニ炒飯醤油,,,,,,,,,0,0,0,0,8,,,,
16,ラーメンセットミニ炒飯豚骨,,,,,,,,,0,0,0,0,8,,,,
17,かけうどん,,,,,,,,,4,0,9,7,6,,,,
18,天ぷらうどん,,,,,,,,,0,0,2,0,0,,,,
19,カレーうどん,,,,,,,,,1,1,2,4,4,,,,
20,肉うどん,,,,,,,,,10,6,12,12,9,,,,
21,うどんセット,,,,,,,,,0,0,5,3,3,,,,
23,ラーメンセットミニカレー醤油,,,,,,,,,6,1,7,13,2,,,,
24,ラーメンセットミニカレー豚骨,,,,,,,,,2,2,12,5,2,,,,
25,かけそば,,,,,,,,,0,0,1,0,1,,,,
26,天ぷらそば,,,,,,,,,1,0,0,1,2,,,,
27,カレーそば,,,,,,,,,0,0,0,0,0,,,,
28,肉そば,,,,,,,,,2,0,1,2,1,,,,
29,そばセット,,,,,,,,,0,0,1,1,0,,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,0,0,0,0,0,0,0,47,43,121,106,116,0,0,,
,,,,,,,,,,,,,,,,,,
R7,9月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,火,
1,日替定食,✕,30,30,31,36,,,✕,29,43,36,,✕,✕,,,
2,日替丼,29,✕,✕,✕,✕,,,30,✕,✕,✕,,✕,✕,,,
4,カレー,5,4,5,8,7,,,5,2,3,8,,5,46,,,
5,カツカレー,0,14,2,✕,✕,,,✕,16,✕,0,,0,0,,,
6,ハヤシライス,0,0,0,✕,✕,,,✕,0,✕,0,,0,0,,,
8,やきめし,0,0,0,✕,4,,,0,0,✕,0,,0,0,,,
9,醤油ラーメン,7,1,4,7,5,,,5,5,8,7,,10,46,,,
10,醤油ラーメン（大盛）,0,4,8,14,5,,,3,8,5,7,,5,0,,,
11,豚骨ラーメン,7,4,4,3,4,,,4,10,4,5,,3,48,,,
12,豚骨ラーメン（大盛）,5,11,7,7,5,,,1,4,4,2,,6,0,,,
13,チャーシュー醤油,1,0,0,1,0,,,0,1,1,1,,0,15,,,
14,チャーシュー豚骨,1,1,0,0,1,,,1,1,1,0,,0,10,,,
15,ラーメンセットミニ炒飯醤油,0,0,0,0,11,,,1,0,0,0,,0,0,,,
16,ラーメンセットミニ炒飯豚骨,0,0,0,0,6,,,1,0,0,0,,0,0,,,
17,かけうどん,4,5,3,10,3,,,7,3,6,0,,3,14,,,
18,天ぷらうどん,2,0,1,2,0,,,1,2,1,0,,2,4,,,
19,カレーうどん,1,1,1,2,5,,,1,0,3,2,,1,3,,,
20,肉うどん,10,5,6,12,12,,,11,12,8,9,,8,45,,,
21,うどんセット,7,4,4,7,8,,,2,6,5,1,,4,0,,,
23,ラーメンセットミニカレー醤油,5,8,7,9,0,,,0,8,5,3,,2,0,,,
24,ラーメンセットミニカレー豚骨,4,7,5,4,0,,,4,5,1,9,,3,0,,,
25,かけそば,0,0,0,0,0,,,0,1,0,1,,0,8,,,
26,天ぷらそば,1,0,0,1,0,,,0,1,1,1,,1,3,,,
27,カレーそば,0,0,0,0,0,,,0,0,0,0,,0,0,,,
28,肉そば,0,1,6,1,2,,,3,1,0,1,,0,6,,,
29,そばセット,1,0,0,2,1,,,0,1,0,0,,0,0,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,90,100,93,121,115,,,80,116,99,93,,53,248,,,
,,,,,,,,,,,,,,,,,,
R7,9月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,
,,水,木,金,土,日,月,火,水,木,金,土,日,月,火,,,
1,日替定食,38,31,35,,,✕,,35,32,40,,,✕,33,,,
2,日替丼,✕,✕,✕,,,26,,✕,✕,✕,,,30,✕,,,
4,カレー,6,5,6,,,6,,9,14,✕,,,3,2,,,
5,カツカレー,✕,✕,✕,,,✕,,✕,0,✕,,,✕,17,,,
6,ハヤシライス,✕,✕,✕,,,✕,,✕,0,11,,,1,0,,,
8,やきめし,✕,✕,6,,,✕,,✕,0,2,,,✕,0,,,
9,醤油ラーメン,8,8,9,,,9,,8,9,2,,,7,2,,,
10,醤油ラーメン（大盛）,5,12,5,,,2,,8,6,4,,,5,4,,,
11,豚骨ラーメン,3,5,6,,,3,,7,6,2,,,2,4,,,
12,豚骨ラーメン（大盛）,2,6,4,,,5,,3,5,3,,,2,2,,,
13,チャーシュー醤油,0,1,0,,,0,,3,1,1,,,0,0,,,
14,チャーシュー豚骨,0,3,0,,,0,,1,0,0,,,0,0,,,
15,ラーメンセットミニ炒飯醤油,0,0,9,,,0,,0,0,9,,,0,0,,,
16,ラーメンセットミニ炒飯豚骨,0,0,4,,,0,,0,0,9,,,1,0,,,
17,かけうどん,1,5,5,,,6,,2,7,6,,,5,2,,,
18,天ぷらうどん,4,2,1,,,4,,2,2,0,,,2,0,,,
19,カレーうどん,3,1,4,,,6,,6,5,0,,,1,0,,,
20,肉うどん,20,16,7,,,4,,10,7,13,,,8,7,,,
21,うどんセット,5,5,7,,,7,,5,8,6,,,4,4,,,
23,ラーメンセットミニカレー醤油,8,6,0,,,7,,6,8,0,,,10,2,,,
24,ラーメンセットミニカレー豚骨,6,11,0,,,2,,6,4,0,,,5,2,,,
25,かけそば,1,1,0,,,0,,1,0,1,,,0,0,,,
26,天ぷらそば,0,0,0,,,0,,2,0,0,,,1,0,,,
27,カレーそば,0,0,0,,,0,,0,0,0,,,0,0,,,
28,肉そば,1,1,0,,,1,,5,2,1,,,1,0,,,
29,そばセット,0,1,1,,,0,,0,1,3,,,2,0,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,111,120,109,0,0,88,,119,117,113,,,90,81,,,
,,,,,,,,,,,,,,,,,,
R7,10月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,　水,　木,　金,　土,　日,　月,　火,　水,　木,　金,　土,　日,　月,　火,　水,　木,
1,日替定食,45,49,34,,,✕,25,28,40,38,,,,✕,✕,✕,
2,日替丼,✕,✕,✕,,,25,✕,✕,✕,✕,,,,✕,✕,✕,
4,カレー,6,4,3,,,6,3,4,8,6,,,,1,0,3,
5,カツカレー,✕,✕,✕,,,0,10,✕,✕,✕,,,,9,✕,✕,
6,ハヤシライス,✕,✕,✕,,,0,✕,✕,✕,✕,,,,✕,✕,✕,
8,やきめし,✕,✕,4,,,0,✕,✕,✕,4,,,,1,✕,✕,
9,醤油ラーメン,7,2,6,,,2,3,3,7,6,,,,2,6,7,
10,醤油ラーメン（大盛）,10,6,5,,,2,5,6,3,4,,,,6,7,9,
11,豚骨ラーメン,7,3,3,,,1,2,9,5,4,,,,4,3,1,
12,豚骨ラーメン（大盛）,6,5,2,,,2,5,9,2,1,,,,2,2,5,
13,チャーシュー醤油,2,0,0,,,0,0,0,1,0,,,,0,1,2,
14,チャーシュー豚骨,0,0,0,,,0,0,1,0,0,,,,1,0,2,
15,ラーメンセットミニ炒飯醤油,0,0,7,,,0,0,0,0,4,,,,0,0,0,
16,ラーメンセットミニ炒飯豚骨,0,0,3,,,0,0,0,0,1,,,,0,0,0,
17,かけうどん,4,4,3,,,4,3,4,4,1,,,,2,5,4,
18,天ぷらうどん,2,0,2,,,0,2,0,1,2,,,,0,0,3,
19,カレーうどん,1,7,3,,,1,2,10,4,0,,,,1,3,2,
20,肉うどん,6,4,6,,,4,4,18,5,5,,,,5,12,16,
21,うどんセット,4,9,5,,,1,3,2,5,0,,,,3,0,7,
23,ラーメンセットミニカレー醤油,6,5,0,,,3,2,7,3,0,,,,4,4,7,
24,ラーメンセットミニカレー豚骨,5,6,0,,,2,5,2,5,0,,,,2,2,4,
25,かけそば,0,0,0,,,1,0,0,2,1,,,,0,0,0,
26,天ぷらそば,1,0,0,,,1,1,0,0,0,,,,1,0,2,
27,カレーそば,0,0,0,,,0,0,0,0,0,,,,0,0,0,
28,肉そば,0,1,3,,,0,0,2,1,0,,,,1,0,3,
29,そばセット,1,1,1,,,0,1,1,0,0,,,,0,0,0,
,,,,,,,,,,,,,,,,,,
,メニュー合計,113,106,90,0,0,55,76,106,96,77,0,0,0,45,45,77,
,,,,,,,,,,,,,,,,,,
R7,10月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
,,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,,
1,日替定食,,,,✕,27,29,45,30,,,✕,29,✕,31,37,,
2,日替丼,,,,23,✕,✕,✕,✕,,,24,✕,✕,✕,✕,,
4,カレー,,,,2,1,6,4,1,,,4,1,1,4,0,,
5,カツカレー,,,,✕,9,0,0,0,,,✕,6,0,✕,0,,
6,ハヤシライス,,,,✕,✕,0,0,0,,,✕,0,0,✕,7,,
8,やきめし,,,,✕,✕,0,0,6,,,✕,0,0,✕,2,,
9,醤油ラーメン,,,,6,2,0,1,7,,,3,2,4,7,6,,
10,醤油ラーメン（大盛）,,,,6,4,8,6,2,,,2,3,11,5,7,,
11,豚骨ラーメン,,,,3,3,2,0,4,,,1,0,3,2,2,,
12,豚骨ラーメン（大盛）,,,,0,0,3,2,6,,,1,0,3,3,2,,
13,チャーシュー醤油,,,,0,0,0,1,1,,,0,0,2,1,0,,
14,チャーシュー豚骨,,,,0,1,0,0,0,,,0,0,0,0,0,,
15,ラーメンセットミニ炒飯醤油,,,,0,0,0,0,3,,,0,0,0,0,10,,
16,ラーメンセットミニ炒飯豚骨,,,,0,0,0,0,4,,,1,0,0,0,3,,
17,かけうどん,,,,6,1,2,3,0,,,4,3,2,5,1,,
18,天ぷらうどん,,,,0,1,2,0,0,,,0,0,1,2,3,,
19,カレーうどん,,,,3,1,4,0,4,,,3,2,1,3,0,,
20,肉うどん,,,,5,3,7,1,12,,,5,1,1,10,6,,
21,うどんセット,,,,3,0,4,5,4,,,1,1,3,10,2,,
23,ラーメンセットミニカレー醤油,,,,3,1,2,6,0,,,2,1,2,6,0,,
24,ラーメンセットミニカレー豚骨,,,,0,5,3,2,0,,,2,2,4,3,0,,
25,かけそば,,,,0,1,2,0,0,,,0,0,3,1,0,,
26,天ぷらそば,,,,0,0,1,0,1,,,1,1,0,0,1,,
27,カレーそば,,,,0,0,0,0,0,,,0,0,0,0,0,,
28,肉そば,,,,0,0,2,3,1,,,0,0,0,1,1,,
29,そばセット,,,,1,0,1,1,0,,,1,0,0,0,1,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,0,0,61,60,78,80,86,0,0,55,52,41,54,91,,
,,,,,,,,,,,,,,,,,,
R7,11月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,　土,　日,　月,　火,　水,　木,　金,　土,　日,　月,　火,　水,　木,　金,　土,　日,
1,日替定食,,,,30,,21,35,,,✕,28,36,30,35,,,
2,日替丼,,,,✕,,✕,✕,,,21,1,✕,✕,✕,,,
4,カレー,,,,4,,1,2,,,0,1,4,2,5,,,
5,カツカレー,,,,10,,0,0,,,✕,11,✕,0,✕,,,
6,ハヤシライス,,,,0,,0,0,,,✕,✕,✕,0,✕,,,
8,やきめし,,,,0,,0,1,,,✕,✕,✕,0,7,,,
9,醤油ラーメン,,,,3,,2,7,,,6,3,3,4,7,,,
10,醤油ラーメン（大盛）,,,,1,,0,4,,,2,2,11,4,6,,,
11,豚骨ラーメン,,,,1,,0,5,,,1,2,4,6,5,,,
12,豚骨ラーメン（大盛）,,,,1,,3,2,,,2,3,3,1,6,,,
13,チャーシュー醤油,,,,0,,0,0,,,1,0,0,1,1,,,
14,チャーシュー豚骨,,,,0,,0,0,,,0,0,1,1,2,,,
15,ラーメンセットミニ炒飯醤油,,,,0,,0,7,,,0,0,0,0,6,,,
16,ラーメンセットミニ炒飯豚骨,,,,0,,0,1,,,1,0,0,0,3,,,
17,かけうどん,,,,1,,3,3,,,2,1,2,5,4,,,
18,天ぷらうどん,,,,0,,1,0,,,0,0,0,0,0,,,
19,カレーうどん,,,,4,,3,2,,,5,1,0,3,1,,,
20,肉うどん,,,,3,,7,9,,,11,0,8,6,7,,,
21,うどんセット,,,,1,,3,4,,,2,4,2,4,3,,,
23,ラーメンセットミニカレー醤油,,,,0,,1,2,,,1,2,3,7,0,,,
24,ラーメンセットミニカレー豚骨,,,,2,,3,2,,,2,4,1,2,0,,,
25,かけそば,,,,0,,0,0,,,1,0,1,0,1,,,
26,天ぷらそば,,,,0,,0,1,,,0,1,0,0,0,,,
27,カレーそば,,,,0,,0,0,,,0,0,0,0,0,,,
28,肉そば,,,,0,,0,1,,,1,2,1,0,1,,,
29,そばセット,,,,1,,0,1,,,2,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,0,0,0,62,0,48,89,0,0,61,66,80,76,100,,,
,,,,,,,,,,,,,,,,,,
R7,11月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
,,月,火,水,木,金,土,日,月,火,水,木,金,土,日,月,,
1,日替定食,✕,27,47,38,,,,,27,31,38,111,,,,,
2,日替丼,23,✕,✕,✕,,,,,✕,✕,✕,0,,,,,
4,カレー,4,0,0,5,,,,,2,1,8,0,,,,,
5,カツカレー,0,8,✕,0,,,,,10,0,✕,0,,,,,
6,ハヤシライス,0,0,✕,0,,,,,✕,0,✕,0,,,,,
8,やきめし,0,0,✕,0,,,,,✕,0,✕,0,,,,,
9,醤油ラーメン,3,1,6,5,,,,,2,1,1,0,,,,,
10,醤油ラーメン（大盛）,0,1,9,8,,,,,0,5,2,0,,,,,
11,豚骨ラーメン,0,2,3,6,,,,,1,3,3,0,,,,,
12,豚骨ラーメン（大盛）,3,1,3,3,,,,,3,2,2,0,,,,,
13,チャーシュー醤油,0,1,0,0,,,,,0,0,0,0,,,,,
14,チャーシュー豚骨,0,0,1,0,,,,,1,0,0,0,,,,,
15,ラーメンセットミニ炒飯醤油,0,0,0,0,,,,,0,0,0,0,,,,,
16,ラーメンセットミニ炒飯豚骨,0,0,0,0,,,,,0,0,0,0,,,,,
17,かけうどん,3,0,3,3,,,,,3,4,1,0,,,,,
18,天ぷらうどん,0,0,1,1,,,,,0,2,1,0,,,,,
19,カレーうどん,2,1,6,3,,,,,2,1,0,0,,,,,
20,肉うどん,4,4,4,8,,,,,7,9,4,0,,,,,
21,うどんセット,2,0,8,11,,,,,0,5,1,0,,,,,
23,ラーメンセットミニカレー醤油,4,0,6,3,,,,,0,2,3,0,,,,,
24,ラーメンセットミニカレー豚骨,3,2,4,3,,,,,0,2,3,0,,,,,
25,かけそば,1,0,2,1,,,,,0,0,0,0,,,,,
26,天ぷらそば,0,0,1,1,,,,,0,0,1,0,,,,,
27,カレーそば,0,0,0,0,,,,,0,0,0,0,,,,,
28,肉そば,1,1,0,1,,,,,1,1,2,0,,,,,
29,そばセット,0,0,0,0,,,,,0,1,0,0,,,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,53,49,104,100,0,0,0,0,59,70,70,111,0,0,,,
